0,1,2,3,4
1022.4659018128685,1022.0515348399639,1021.5989717519645,1022.041074263946,1021.5989717519645
1022.9586503503219,1021.8834796968872,1022.5254424253374,1021.8905501225211,1022.505594241848
1022.5114009099541,1022.5677958917308,1022.0292154332891,1022.7686643392244,1021.5989717519645
1023.3057679005374,1024.2345680425187,1023.1769338302977,1021.5989717519645,1022.6416216876
1021.9180512353565,1023.2585466842961,1022.6406021279663,1021.780915907094,1021.5989717519645
1023.1434924388253,1022.6913446336522,1021.931822462033,1021.5989717519645,1021.5989717519645
1023.2573608803928,1021.8004176662247,1021.5989717519645,1022.7220182891674,1021.5989717519645
1021.8890601335419,1021.5989717519645,1022.7693350018758,1021.5989717519645,1021.772044874836
1022.5070654242544,1021.5989717519645,1021.5989717519645,1022.9054918850328,1023.592529699922
1023.4738148314556,1021.8644181800995,1023.2634782075435,1021.5989717519645,1021.5989717519645
1022.409015037765,1022.605754920013,1021.881082170641,1021.5989717519645,1021.5989717519645
1021.8151796563324,1021.5989717519645,1021.5989717519645,1021.5989717519645,1022.3844405360084
1024.2718643355124,1022.6414893056984,1022.3540919867105,1021.5989717519645,1021.5989717519645
1022.3062583615864,1022.3569642933776,1021.5989717519645,1021.5989717519645,1021.5989717519645
1021.9810018887682,1021.7939821619058,1021.5989717519645,1023.8973403442469,1021.5989717519645
1021.8699452125682,1023.3204425917274,1021.5989717519645,1021.5989717519645,1021.5989717519645
1024.0148976341313,1021.6341649716757,1021.5989717519645,1021.5989717519645,1021.5989717519645
1022.4614294800905,1021.5989717519645,1021.5989717519645,1021.78211313271,1021.5989717519645
1021.6547557911783,1021.6857489769945,1022.542073877169,1021.5989717519645,1021.5989717519645
1021.8802189050714,1021.883400880757,1021.5989717519645,1021.8832954381122,1021.5989717519645
1022.4115388660141,1021.5989717519645,1022.3969746691419,1021.5989717519645,1022.5295097711014
1022.1244683713869,1021.5989717519645,1021.5989717519645,1021.5989717519645,1021.8857702341123
1021.8105917492632,1021.9967781963169,1021.5989717519645,1021.8021556751993,1021.8261033625321
1024.1699409186672,1021.6753064731786,1022.3583852073001,1021.5989717519645,1021.5989717519645
1021.6084438661225,1021.7840333415146,1021.5989717519645,1021.5989717519645,1021.5989717519645
1021.5989717519645,1021.8551149243367,1021.8854041402064,1021.8372379628739,1021.5989717519645
1023.3296907430224,1023.1340302275275,1022.5269405599843,1022.0247213158516,1021.5989717519645
1023.6602807915259,1022.1813050780884,1021.5989717519645,1022.7827767645873,1021.5989717519645
1021.8992705873325,1021.5989717519645,1022.0057614546369,1021.9392707116016,1021.5989717519645
1022.0660834965051,1021.5989717519645,1021.5989717519645,1021.5989717519645,1021.5989717519645
1022.452205983188,1021.5989717519645,1021.5989717519645,1021.5989717519645,1021.5989717519645
1022.1671217176719,1022.3665066417805,1022.0767519283751,1021.9383786356392,1021.5989717519645
1023.9476950419431,1022.7954655165659,1021.5989717519645,1021.5989717519645,1021.5989717519645
1022.3510876846235,1021.5989717519645,1022.5235335311603,1021.5989717519645,1021.8802272380947
1021.801238250293,1021.5989717519645,1021.5989717519645,1021.5989717519645,1021.7095113531113
1021.887379856549,1021.9877794717961,1022.0034187905702,1022.1151323069736,1022.6793941060088
1022.3158515626059,1021.5989717519645,1022.4900211506064,1023.2984650687015,1021.8493804881468
1022.2002956701755,1021.5989717519645,1021.8428619741288,1022.2922691145908,1021.5989717519645
1023.2886812020607,1021.9033657124778,1022.3780182349852,1021.9262932816848,1021.5989717519645
1021.5989717519645,1021.8816093749025,1023.0218279825449,1022.4767878327998,1021.5989717519645
1021.6251260130477,1022.3355289441664,1021.7458837725709,1021.5989717519645,1021.5989717519645
1022.80708486351,1022.4717260800217,1021.5989717519645,1021.5989717519645,1021.5989717519645
1022.9944409114422,1021.5989717519645,1021.9592919950454,1021.5989717519645,1022.3538940386115
1021.5989717519645,1021.5989717519645,1023.5461206244945,1022.0002714973368,1021.8582517949139
1023.404957066244,1022.4420880226149,1021.5989717519645,1021.5989717519645,1022.1090593316837
1022.3060146733064,1022.4185229128001,1021.5989717519645,1021.5989717519645,1021.5989717519645
1023.3509444078658,1022.1647098604121,1021.5989717519645,1021.5989717519645,1021.794179906695
1021.5989717519645,1021.5989717519645,1021.5989717519645,1021.8797240332141,1021.5989717519645
1022.6990062120103,1022.6853149602339,1022.4859658271481,1021.7479840236207,1021.5989717519645
1022.1186149920746,1021.9510718835271,1022.185860669554,1021.5989717519645,1021.5989717519645
